Year/Month/Day or Period,Event,Category,Economic/Market Impact (S&P 500),,,,,,,,,,,,,,,,,,,,,
2022-04-02,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 101,,,,,,,,,,,,,,,,,,,,,
2022-04-03,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 102,,,,,,,,,,,,,,,,,,,,,
2022-04-04,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 103,,,,,,,,,,,,,,,,,,,,,
2022-04-05,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 104,,,,,,,,,,,,,,,,,,,,,
2022-04-06,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 105,,,,,,,,,,,,,,,,,,,,,
2022-04-07,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 106,,,,,,,,,,,,,,,,,,,,,
2022-04-08,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 107,,,,,,,,,,,,,,,,,,,,,
2022-04-09,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 108,,,,,,,,,,,,,,,,,,,,,
2022-04-10,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 109,,,,,,,,,,,,,,,,,,,,,
2022-04-11,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 110,,,,,,,,,,,,,,,,,,,,,
2022-04-12,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 111,,,,,,,,,,,,,,,,,,,,,
2022-04-13,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 112,,,,,,,,,,,,,,,,,,,,,
2022-04-14,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 113,,,,,,,,,,,,,,,,,,,,,
2022-04-15,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 114,,,,,,,,,,,,,,,,,,,,,
2022-04-16,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 115,,,,,,,,,,,,,,,,,,,,,
2022-04-17,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 116,,,,,,,,,,,,,,,,,,,,,
2022-04-18,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 117,,,,,,,,,,,,,,,,,,,,,
2022-04-19,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 118,,,,,,,,,,,,,,,,,,,,,
2022-04-20,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 119,,,,,,,,,,,,,,,,,,,,,
2022-04-21,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 120,,,,,,,,,,,,,,,,,,,,,
2022-04-22,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 121,,,,,,,,,,,,,,,,,,,,,
2022-04-23,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 122,,,,,,,,,,,,,,,,,,,,,
2022-04-24,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 123,,,,,,,,,,,,,,,,,,,,,
2022-04-25,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 124,,,,,,,,,,,,,,,,,,,,,
2022-04-26,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 125,,,,,,,,,,,,,,,,,,,,,
2022-04-27,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 126,,,,,,,,,,,,,,,,,,,,,
2022-04-28,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 127,,,,,,,,,,,,,,,,,,,,,
2022-04-29,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 128,,,,,,,,,,,,,,,,,,,,,
2022-04-30,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 129,,,,,,,,,,,,,,,,,,,,,
2022-05-01,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 130,,,,,,,,,,,,,,,,,,,,,
2022-05-02,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 131,,,,,,,,,,,,,,,,,,,,,
2022-05-03,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 132,,,,,,,,,,,,,,,,,,,,,
2022-05-04,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 133,,,,,,,,,,,,,,,,,,,,,
2022-05-05,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 134,,,,,,,,,,,,,,,,,,,,,
2022-05-06,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 135,,,,,,,,,,,,,,,,,,,,,
2022-05-07,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 136,,,,,,,,,,,,,,,,,,,,,
2022-05-08,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 137,,,,,,,,,,,,,,,,,,,,,
2022-05-09,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 138,,,,,,,,,,,,,,,,,,,,,
2022-05-10,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 139,,,,,,,,,,,,,,,,,,,,,
2022-05-11,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 140,,,,,,,,,,,,,,,,,,,,,
2022-05-12,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 141,,,,,,,,,,,,,,,,,,,,,
2022-05-13,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 142,,,,,,,,,,,,,,,,,,,,,
2022-05-14,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 143,,,,,,,,,,,,,,,,,,,,,
2022-05-15,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 144,,,,,,,,,,,,,,,,,,,,,
2022-05-16,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 145,,,,,,,,,,,,,,,,,,,,,
2022-05-17,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 146,,,,,,,,,,,,,,,,,,,,,
2022-05-18,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 147,,,,,,,,,,,,,,,,,,,,,
2022-05-19,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 148,,,,,,,,,,,,,,,,,,,,,
2022-05-20,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 149,,,,,,,,,,,,,,,,,,,,,
2022-05-21,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 150,,,,,,,,,,,,,,,,,,,,,
2022-05-22,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 151,,,,,,,,,,,,,,,,,,,,,
2022-05-23,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 152,,,,,,,,,,,,,,,,,,,,,
2022-05-24,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 153,,,,,,,,,,,,,,,,,,,,,
2022-05-25,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 154,,,,,,,,,,,,,,,,,,,,,
2022-05-26,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 155,,,,,,,,,,,,,,,,,,,,,
2022-05-27,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 156,,,,,,,,,,,,,,,,,,,,,
2022-05-28,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 157,,,,,,,,,,,,,,,,,,,,,
2022-05-29,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 158,,,,,,,,,,,,,,,,,,,,,
2022-05-30,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 159,,,,,,,,,,,,,,,,,,,,,
2022-05-31,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 160,,,,,,,,,,,,,,,,,,,,,
2022-06-01,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 161,,,,,,,,,,,,,,,,,,,,,
2022-06-02,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 162,,,,,,,,,,,,,,,,,,,,,
2022-06-03,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 163,,,,,,,,,,,,,,,,,,,,,
2022-06-04,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 164,,,,,,,,,,,,,,,,,,,,,
2022-06-05,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 165,,,,,,,,,,,,,,,,,,,,,
2022-06-06,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 166,,,,,,,,,,,,,,,,,,,,,
2022-06-07,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 167,,,,,,,,,,,,,,,,,,,,,
2022-06-08,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 168,,,,,,,,,,,,,,,,,,,,,
2022-06-09,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 169,,,,,,,,,,,,,,,,,,,,,
2022-06-10,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 170,,,,,,,,,,,,,,,,,,,,,
2022-06-11,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 171,,,,,,,,,,,,,,,,,,,,,
2022-06-12,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 172,,,,,,,,,,,,,,,,,,,,,
2022-06-13,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 173,,,,,,,,,,,,,,,,,,,,,
2022-06-14,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 174,,,,,,,,,,,,,,,,,,,,,
2022-06-15,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 175,,,,,,,,,,,,,,,,,,,,,
2022-06-16,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 176,,,,,,,,,,,,,,,,,,,,,
2022-06-17,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 177,,,,,,,,,,,,,,,,,,,,,
2022-06-18,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 178,,,,,,,,,,,,,,,,,,,,,
2022-06-19,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 179,,,,,,,,,,,,,,,,,,,,,
2022-06-20,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 180,,,,,,,,,,,,,,,,,,,,,
2022-06-21,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 181,,,,,,,,,,,,,,,,,,,,,
2022-06-22,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 182,,,,,,,,,,,,,,,,,,,,,
2022-06-23,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 183,,,,,,,,,,,,,,,,,,,,,
2022-06-24,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 184,,,,,,,,,,,,,,,,,,,,,
2022-06-25,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 185,,,,,,,,,,,,,,,,,,,,,
2022-06-26,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 186,,,,,,,,,,,,,,,,,,,,,
2022-06-27,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 187,,,,,,,,,,,,,,,,,,,,,
2022-06-28,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 188,,,,,,,,,,,,,,,,,,,,,
2022-06-29,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 189,,,,,,,,,,,,,,,,,,,,,
2022-06-30,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 190,,,,,,,,,,,,,,,,,,,,,
2022-07-01,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 191,,,,,,,,,,,,,,,,,,,,,
2022-07-02,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 192,,,,,,,,,,,,,,,,,,,,,
2022-07-03,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 193,,,,,,,,,,,,,,,,,,,,,
2022-07-04,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 194,,,,,,,,,,,,,,,,,,,,,
2022-07-05,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 195,,,,,,,,,,,,,,,,,,,,,
2022-07-06,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 196,,,,,,,,,,,,,,,,,,,,,
2022-07-07,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 197,,,,,,,,,,,,,,,,,,,,,
2022-07-08,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 198,,,,,,,,,,,,,,,,,,,,,
2022-07-09,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 199,,,,,,,,,,,,,,,,,,,,,
2022-07-10,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 200,,,,,,,,,,,,,,,,,,,,,
2022-07-11,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 201,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 202,,,,,,,,,,,,,,,,,,,,,
2022-07-13,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 203,,,,,,,,,,,,,,,,,,,,,
2022-07-14,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 204,,,,,,,,,,,,,,,,,,,,,
2022-07-15,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 205,,,,,,,,,,,,,,,,,,,,,
2022-07-16,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 206,,,,,,,,,,,,,,,,,,,,,
2022-07-17,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 207,,,,,,,,,,,,,,,,,,,,,
2022-07-18,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 208,,,,,,,,,,,,,,,,,,,,,
2022-07-19,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 209,,,,,,,,,,,,,,,,,,,,,
2022-07-20,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 210,,,,,,,,,,,,,,,,,,,,,
2022-07-21,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 211,,,,,,,,,,,,,,,,,,,,,
2022-07-22,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 212,,,,,,,,,,,,,,,,,,,,,
2022-07-23,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 213,,,,,,,,,,,,,,,,,,,,,
2022-07-24,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 214,,,,,,,,,,,,,,,,,,,,,
2022-07-25,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 215,,,,,,,,,,,,,,,,,,,,,
2022-07-26,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 216,,,,,,,,,,,,,,,,,,,,,
2022-07-27,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 217,,,,,,,,,,,,,,,,,,,,,
2022-07-28,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 218,,,,,,,,,,,,,,,,,,,,,
2022-07-29,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 219,,,,,,,,,,,,,,,,,,,,,
2022-07-30,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 220,,,,,,,,,,,,,,,,,,,,,
2022-07-31,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 221,,,,,,,,,,,,,,,,,,,,,
2022-08-01,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 222,,,,,,,,,,,,,,,,,,,,,
2022-08-02,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 223,,,,,,,,,,,,,,,,,,,,,
2022-08-03,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 224,,,,,,,,,,,,,,,,,,,,,
2022-08-04,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 225,,,,,,,,,,,,,,,,,,,,,
2022-08-05,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 226,,,,,,,,,,,,,,,,,,,,,
2022-08-06,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 227,,,,,,,,,,,,,,,,,,,,,
2022-08-07,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 228,,,,,,,,,,,,,,,,,,,,,
2022-08-08,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 229,,,,,,,,,,,,,,,,,,,,,
2022-08-09,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 230,,,,,,,,,,,,,,,,,,,,,
2022-08-10,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 231,,,,,,,,,,,,,,,,,,,,,
2022-08-11,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 232,,,,,,,,,,,,,,,,,,,,,
2022-08-12,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 233,,,,,,,,,,,,,,,,,,,,,
2022-08-13,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 234,,,,,,,,,,,,,,,,,,,,,
2022-08-14,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 235,,,,,,,,,,,,,,,,,,,,,
2022-08-15,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 236,,,,,,,,,,,,,,,,,,,,,
2022-08-16,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 237,,,,,,,,,,,,,,,,,,,,,
2022-08-17,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 238,,,,,,,,,,,,,,,,,,,,,
2022-08-18,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 239,,,,,,,,,,,,,,,,,,,,,
2022-08-19,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 240,,,,,,,,,,,,,,,,,,,,,
2022-08-20,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 241,,,,,,,,,,,,,,,,,,,,,
2022-08-21,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 242,,,,,,,,,,,,,,,,,,,,,
2022-08-22,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 243,,,,,,,,,,,,,,,,,,,,,
2022-08-23,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 244,,,,,,,,,,,,,,,,,,,,,
2022-08-24,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 245,,,,,,,,,,,,,,,,,,,,,
2022-08-25,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 246,,,,,,,,,,,,,,,,,,,,,
2022-08-26,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 247,,,,,,,,,,,,,,,,,,,,,
2022-08-27,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 248,,,,,,,,,,,,,,,,,,,,,
2022-08-28,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 249,,,,,,,,,,,,,,,,,,,,,
2022-08-29,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 250,,,,,,,,,,,,,,,,,,,,,
2022-08-30,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 251,,,,,,,,,,,,,,,,,,,,,
2022-08-31,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 252,,,,,,,,,,,,,,,,,,,,,
2022-09-01,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 253,,,,,,,,,,,,,,,,,,,,,
2022-09-02,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 254,,,,,,,,,,,,,,,,,,,,,
2022-09-03,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 255,,,,,,,,,,,,,,,,,,,,,
2022-09-04,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 256,,,,,,,,,,,,,,,,,,,,,
2022-09-05,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 257,,,,,,,,,,,,,,,,,,,,,
2022-09-06,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 258,,,,,,,,,,,,,,,,,,,,,
2022-09-07,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 259,,,,,,,,,,,,,,,,,,,,,
2022-09-08,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 260,,,,,,,,,,,,,,,,,,,,,
2022-09-09,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 261,,,,,,,,,,,,,,,,,,,,,
2022-09-10,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 262,,,,,,,,,,,,,,,,,,,,,
2022-09-11,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 263,,,,,,,,,,,,,,,,,,,,,
2022-09-12,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 264,,,,,,,,,,,,,,,,,,,,,
2022-09-13,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 265,,,,,,,,,,,,,,,,,,,,,
2022-09-14,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 266,,,,,,,,,,,,,,,,,,,,,
2022-09-15,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 267,,,,,,,,,,,,,,,,,,,,,
2022-09-16,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 268,,,,,,,,,,,,,,,,,,,,,
2022-09-17,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 269,,,,,,,,,,,,,,,,,,,,,
2022-09-18,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 270,,,,,,,,,,,,,,,,,,,,,
2022-09-19,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 271,,,,,,,,,,,,,,,,,,,,,
2022-09-20,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 272,,,,,,,,,,,,,,,,,,,,,
2022-09-21,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 273,,,,,,,,,,,,,,,,,,,,,
2022-09-22,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 274,,,,,,,,,,,,,,,,,,,,,
2022-09-23,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 275,,,,,,,,,,,,,,,,,,,,,
2022-09-24,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 276,,,,,,,,,,,,,,,,,,,,,
2022-09-25,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 277,,,,,,,,,,,,,,,,,,,,,
2022-09-26,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 278,,,,,,,,,,,,,,,,,,,,,
2022-09-27,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 279,,,,,,,,,,,,,,,,,,,,,
2022-09-28,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 280,,,,,,,,,,,,,,,,,,,,,
2022-09-29,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 281,,,,,,,,,,,,,,,,,,,,,
2022-09-30,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 282,,,,,,,,,,,,,,,,,,,,,
2022-10-01,2022 inflation/Fed hiking bear,Macro/Fed,S&P ~-25% peak-to-trough; low on Oct 283,,,,,,,,,,,,,,,,,,,,,
